LIGHT (lux),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.0,25964,2020-09-30 12:03:16:931
4.0,26014,2020-09-30 12:03:16:981
0.0,26064,2020-09-30 12:03:17:031
0.0,26113,2020-09-30 12:03:17:080
4.0,26164,2020-09-30 12:03:17:131
4.0,26213,2020-09-30 12:03:17:180
6.0,26263,2020-09-30 12:03:17:230
6.0,26314,2020-09-30 12:03:17:281
6.0,26364,2020-09-30 12:03:17:331
6.0,26413,2020-09-30 12:03:17:380
6.0,26464,2020-09-30 12:03:17:431
0.0,26513,2020-09-30 12:03:17:480
0.0,26564,2020-09-30 12:03:17:531
0.0,26613,2020-09-30 12:03:17:580
3.0,26664,2020-09-30 12:03:17:631
6.0,26714,2020-09-30 12:03:17:681
6.0,26764,2020-09-30 12:03:17:731
6.0,26813,2020-09-30 12:03:17:780
6.0,26863,2020-09-30 12:03:17:830
6.0,26914,2020-09-30 12:03:17:881
6.0,26964,2020-09-30 12:03:17:931
6.0,27013,2020-09-30 12:03:17:980
0.0,27064,2020-09-30 12:03:18:031
0.0,27114,2020-09-30 12:03:18:081
4.0,27163,2020-09-30 12:03:18:130
4.0,27213,2020-09-30 12:03:18:180
6.0,27263,2020-09-30 12:03:18:230
6.0,27314,2020-09-30 12:03:18:281
6.0,27363,2020-09-30 12:03:18:330
6.0,27415,2020-09-30 12:03:18:382
6.0,27464,2020-09-30 12:03:18:431
0.0,27513,2020-09-30 12:03:18:480
0.0,27563,2020-09-30 12:03:18:530
0.0,27614,2020-09-30 12:03:18:581
0.0,27663,2020-09-30 12:03:18:630
6.0,27713,2020-09-30 12:03:18:680
6.0,27764,2020-09-30 12:03:18:731
6.0,27813,2020-09-30 12:03:18:780
6.0,27863,2020-09-30 12:03:18:830
6.0,27914,2020-09-30 12:03:18:881
6.0,27964,2020-09-30 12:03:18:931
3.0,28014,2020-09-30 12:03:18:981
0.0,28063,2020-09-30 12:03:19:030
0.0,28114,2020-09-30 12:03:19:081
0.0,28164,2020-09-30 12:03:19:131
3.0,28213,2020-09-30 12:03:19:180
6.0,28263,2020-09-30 12:03:19:230
6.0,28314,2020-09-30 12:03:19:281
6.0,28364,2020-09-30 12:03:19:331
