LIGHT (lux),Time sin`ce start in ms,YYYY-MO-DD HH-MI-SS.SSSS
72.00,11936,2022-04-05 14:34:25.7390
72.00,11974,2022-04-05 14:34:25.7770
72.00,12012,2022-04-05 14:34:25.8140
72.00,12048,2022-04-05 14:34:25.8510
75.00,12083,2022-04-05 14:34:25.8850
75.00,12118,2022-04-05 14:34:25.9210
75.00,12152,2022-04-05 14:34:25.9550
75.00,12186,2022-04-05 14:34:25.9880
75.00,12219,2022-04-05 14:34:26.0220
75.00,12252,2022-04-05 14:34:26.0550
75.00,12285,2022-04-05 14:34:26.0870
75.00,12324,2022-04-05 14:34:26.1260
97.00,12362,2022-04-05 14:34:26.1650
97.00,12398,2022-04-05 14:34:26.2000
97.00,12434,2022-04-05 14:34:26.2360
97.00,12468,2022-04-05 14:34:26.2700
97.00,12501,2022-04-05 14:34:26.3040
97.00,12538,2022-04-05 14:34:26.3410
97.00,12575,2022-04-05 14:34:26.3780
96.00,12606,2022-04-05 14:34:26.4090
96.00,12641,2022-04-05 14:34:26.4440
96.00,12680,2022-04-05 14:34:26.4820
96.00,12717,2022-04-05 14:34:26.5190
96.00,12760,2022-04-05 14:34:26.5620
96.00,12796,2022-04-05 14:34:26.5990
96.00,12832,2022-04-05 14:34:26.6350
96.00,12872,2022-04-05 14:34:26.6740
96.00,12914,2022-04-05 14:34:26.7170
96.00,12947,2022-04-05 14:34:26.7500
96.00,12984,2022-04-05 14:34:26.7860
96.00,13022,2022-04-05 14:34:26.8250
96.00,13049,2022-04-05 14:34:26.8510
96.00,13087,2022-04-05 14:34:26.8900
96.00,13123,2022-04-05 14:34:26.9250
96.00,13161,2022-04-05 14:34:26.9630
96.00,13196,2022-04-05 14:34:26.9980
96.00,13230,2022-04-05 14:34:27.0320
96.00,13266,2022-04-05 14:34:27.0690
96.00,13305,2022-04-05 14:34:27.1080
97.00,13341,2022-04-05 14:34:27.1430
97.00,13380,2022-04-05 14:34:27.1830
97.00,13420,2022-04-05 14:34:27.2220
97.00,13456,2022-04-05 14:34:27.2590
97.00,13490,2022-04-05 14:34:27.2920
97.00,13524,2022-04-05 14:34:27.3260
97.00,13563,2022-04-05 14:34:27.3660
79.00,13590,2022-04-05 14:34:27.3930
79.00,13621,2022-04-05 14:34:27.4240
79.00,13653,2022-04-05 14:34:27.4560
79.00,13687,2022-04-05 14:34:27.4890
79.00,13725,2022-04-05 14:34:27.5270
79.00,13762,2022-04-05 14:34:27.5650
79.00,13797,2022-04-05 14:34:27.5990
79.00,13835,2022-04-05 14:34:27.6370
73.00,13870,2022-04-05 14:34:27.6730
73.00,13904,2022-04-05 14:34:27.7070
73.00,13939,2022-04-05 14:34:27.7410
73.00,13970,2022-04-05 14:34:27.7720
73.00,14007,2022-04-05 14:34:27.8100
73.00,14042,2022-04-05 14:34:27.8450
73.00,14076,2022-04-05 14:34:27.8780
74.00,14111,2022-04-05 14:34:27.9130
74.00,14147,2022-04-05 14:34:27.9500
74.00,14188,2022-04-05 14:34:27.9910
74.00,14223,2022-04-05 14:34:28.0250
74.00,14256,2022-04-05 14:34:28.0590
74.00,14297,2022-04-05 14:34:28.1000
74.00,14333,2022-04-05 14:34:28.1360
104.00,14366,2022-04-05 14:34:28.1680
104.00,14394,2022-04-05 14:34:28.1970
104.00,14418,2022-04-05 14:34:28.2210
104.00,14441,2022-04-05 14:34:28.2430
104.00,14471,2022-04-05 14:34:28.2740
104.00,14499,2022-04-05 14:34:28.3020
